timestep,conformation,size
330,semi-filamentous,15
330,globular,19
330,filamentous,18
330,globular,30
330,semi-filamentous,19
330,globular,18
330,semi-filamentous,13
330,semi-filamentous,15
330,globular,26
330,globular,23
330,filamentous,13
330,globular,49
330,semi-filamentous,18
330,semi-filamentous,20
330,semi-filamentous,22
252,globular,20
252,globular,14
252,filamentous,15
252,semi-filamentous,24
252,semi-filamentous,15
252,filamentous,14
252,semi-filamentous,15
252,semi-filamentous,20
252,semi-filamentous,25
252,semi-filamentous,35
252,globular,44
252,globular,29
252,semi-filamentous,18
252,semi-filamentous,24
115,globular,27
115,semi-filamentous,35
115,semi-filamentous,20
115,semi-filamentous,13
115,semi-filamentous,16
115,semi-filamentous,13
115,filamentous,26
115,semi-filamentous,16
115,globular,17
115,semi-filamentous,40
115,globular,13
115,globular,20
115,semi-filamentous,34
115,filamentous,17
115,globular,13
168,globular,24
168,globular,13
168,globular,17
168,semi-filamentous,29
168,semi-filamentous,15
168,globular,25
168,globular,17
168,globular,15
168,globular,21
168,globular,13
168,globular,16
168,semi-filamentous,22
168,semi-filamentous,34
168,globular,48
168,globular,13
168,semi-filamentous,13
232,semi-filamentous,23
232,semi-filamentous,16
232,semi-filamentous,23
232,globular,20
232,semi-filamentous,19
232,globular,13
232,globular,32
232,semi-filamentous,23
232,semi-filamentous,15
232,semi-filamentous,35
232,globular,40
232,semi-filamentous,17
232,semi-filamentous,22
466,globular,23
466,globular,19
466,semi-filamentous,20
466,globular,17
466,semi-filamentous,14
466,filamentous,13
466,semi-filamentous,20
466,semi-filamentous,17
466,semi-filamentous,21
466,globular,18
466,globular,25
466,globular,26
466,semi-filamentous,33
466,globular,16
466,globular,15
466,globular,26
535,globular,20
535,globular,27
535,globular,21
535,semi-filamentous,16
535,filamentous,15
535,filamentous,15
535,semi-filamentous,19
535,semi-filamentous,18
535,globular,21
535,globular,17
535,semi-filamentous,21
535,globular,35
535,filamentous,23
535,semi-filamentous,14
535,semi-filamentous,19
535,globular,18
535,semi-filamentous,28
555,globular,19
555,globular,14
555,filamentous,22
555,globular,15
555,globular,21
555,globular,25
555,globular,22
555,globular,18
555,semi-filamentous,22
555,globular,23
555,semi-filamentous,20
555,globular,33
555,globular,16
555,semi-filamentous,15
555,globular,23
246,globular,23
246,filamentous,14
246,globular,15
246,globular,27
246,globular,18
246,globular,13
246,globular,14
246,filamentous,19
246,semi-filamentous,13
246,semi-filamentous,27
246,globular,15
246,semi-filamentous,35
246,globular,47
246,semi-filamentous,26
246,semi-filamentous,17
246,globular,21
355,filamentous,16
355,globular,18
355,filamentous,18
355,semi-filamentous,13
355,globular,28
355,globular,14
355,semi-filamentous,19
355,globular,14
355,semi-filamentous,24
355,semi-filamentous,14
355,semi-filamentous,24
355,semi-filamentous,14
355,globular,23
355,globular,43
355,globular,24
355,globular,21
355,globular,24
355,filamentous,21
127,globular,26
127,semi-filamentous,19
127,globular,35
127,filamentous,13
127,semi-filamentous,13
127,filamentous,22
127,globular,24
127,semi-filamentous,15
127,globular,17
127,filamentous,20
127,globular,13
127,globular,21
127,globular,34
127,globular,37
183,semi-filamentous,19
183,globular,17
183,semi-filamentous,14
183,semi-filamentous,15
183,globular,25
183,filamentous,17
183,semi-filamentous,29
183,globular,16
183,semi-filamentous,13
183,semi-filamentous,17
183,globular,20
183,filamentous,38
183,globular,44
183,filamentous,16
696,filamentous,16
696,filamentous,17
696,semi-filamentous,19
696,globular,15
696,semi-filamentous,14
696,globular,28
696,globular,17
696,filamentous,18
696,globular,29
696,semi-filamentous,19
696,globular,17
696,globular,13
696,semi-filamentous,22
696,globular,15
696,semi-filamentous,17
696,globular,43
390,globular,23
390,globular,15
390,semi-filamentous,19
390,filamentous,13
390,semi-filamentous,17
390,semi-filamentous,13
390,globular,15
390,filamentous,19
390,globular,18
390,globular,20
390,globular,27
390,filamentous,18
390,semi-filamentous,14
390,globular,40
390,semi-filamentous,26
390,semi-filamentous,18
390,semi-filamentous,20
816,semi-filamentous,25
816,filamentous,22
816,globular,14
816,globular,20
816,filamentous,13
816,semi-filamentous,22
816,filamentous,13
816,semi-filamentous,23
816,globular,26
816,filamentous,15
816,globular,35
816,semi-filamentous,22
816,semi-filamentous,18
816,globular,17
816,globular,37
816,semi-filamentous,23
816,semi-filamentous,27
139,filamentous,24
139,semi-filamentous,23
139,filamentous,17
139,semi-filamentous,34
139,semi-filamentous,17
139,globular,14
139,semi-filamentous,23
139,semi-filamentous,16
139,globular,16
139,globular,16
139,semi-filamentous,23
139,globular,35
139,globular,42
508,semi-filamentous,20
508,globular,13
508,semi-filamentous,20
508,globular,17
508,globular,18
508,semi-filamentous,21
508,semi-filamentous,19
508,filamentous,19
508,semi-filamentous,22
508,globular,13
508,semi-filamentous,20
508,semi-filamentous,42
508,globular,25
508,filamentous,17
508,semi-filamentous,22
635,semi-filamentous,18
635,semi-filamentous,31
635,globular,18
635,filamentous,19
635,semi-filamentous,13
635,filamentous,18
635,globular,25
635,globular,13
635,globular,23
635,semi-filamentous,18
635,semi-filamentous,19
635,globular,16
635,semi-filamentous,22
635,globular,19
635,globular,38
635,globular,18
179,globular,21
179,globular,16
179,filamentous,17
179,globular,25
179,filamentous,17
179,semi-filamentous,14
179,globular,28
179,globular,17
179,semi-filamentous,13
179,globular,18
179,filamentous,22
179,globular,36
179,globular,45
179,filamentous,13
897,globular,13
897,semi-filamentous,13
897,globular,25
897,semi-filamentous,23
897,globular,21
897,filamentous,25
897,semi-filamentous,20
897,globular,15
897,globular,24
897,globular,35
897,globular,24
897,globular,31
897,globular,18
897,semi-filamentous,18
897,filamentous,18
897,semi-filamentous,22
897,globular,31
